001000100000000101北海道                                                    HK000000081
001000100000000202青森県                                                    AO000000081
001000100000000303岩手県                                                    IW000000081
001000100000000404宮城県                                                    MG000000081
001000100000000505秋田県                                                    AK000000081
001000100000000606山形県                                                    YG000000081
001000100000000707福島県                                                    FS000000081
001000100000000808茨城県                                                    IB000000081
001000100000000909栃木県                                                    TC000000081
001000100000001010群馬県                                                    GM000000081
001000100000001111埼玉県                                                    ST000000081
001000100000001212千葉県                                                    CB000000081
001000100000001313東京都                                                    TK000000081
001000100000001414神奈川県                                                   KN000000081
001000100000001515新潟県                                                    NI000000081
001000100000001616富山県                                                    TY000000081
001000100000001717石川県                                                    IS000000081
001000100000001818福井県                                                    FI000000081
001000100000001919山梨県                                                    YN000000081
001000100000002020長野県                                                    NA000000081
001000100000002121岐阜県                                                    GI000000081
001000100000002222静岡県                                                    SZ000000081
001000100000002323愛知県                                                    AI000000081
001000100000002424三重県                                                    ME000000081
001000100000002525滋賀県                                                    SI000000081
001000100000002626京都府                                                    KY000000081
001000100000002727大阪府                                                    OS000000081
001000100000002828兵庫県                                                    HG000000081
001000100000002929奈良県                                                    NR000000081
001000100000003030和歌山県                                                   WK000000081
001000100000003131鳥取県                                                    TT000000081
001000100000003232島根県                                                    SM000000081
001000100000003333岡山県                                                    OY000000081
001000100000003434広島県                                                    HS000000081
001000100000003535山口県                                                    YM000000081
001000100000003636徳島県                                                    TK000000081
001000100000003737香川県                                                    KA000000081
001000100000003838愛媛県                                                    EH000000081
001000100000003939高知県                                                    KO000000081
001000100000004040福岡県                                                    FO000000081
001000100000004141佐賀県                                                    SG000000081
001000100000004242長崎県                                                    NS000000081
001000100000004343熊本県                                                    KU000000081
001000100000004444大分県                                                    OI000000081
001000100000004545宮崎県                                                    MZ000000081
001000100000004646鹿児島県                                                   KG000000081
001000100000004747沖縄県                                                    OK000000081
